gdp_1,state
47190.0,MS
53852.0,WV
54259.0,AR
54753.0,AL
56066.0,SC
56496.0,ID
57653.0,KY
57792.0,NM
57945.0,MT
59894.0,OK
61008.0,ME
61313.0,LA
61859.0,MI
62365.0,AZ
62446.0,FL
62771.0,VT
63126.0,MO
65362.0,RI
66698.0,IN
67473.0,TN
67962.0,NV
68192.0,WI
68207.0,HI
68243.0,NC
69253.0,GA
69978.0,OH
70548.0,OR
71160.0,PA
71729.0,KS
72221.0,IA
73424.0,UT
74268.0,SD
74789.0,VA
75565.0,NH
76279.0,MD
78100.0,MN
78456.0,TX
80490.0,NJ
81586.0,WY
82126.0,IL
82207.0,NE
82954.0,CO
85977.0,DE
86722.0,AK
88760.0,CT
92190.0,CA
93193.0,WA
94021.0,ND
98609.0,MA
104344.0,NY
242853.0,DC
